http://google.com,200,1678062671388632100,1678062671473742800,13969,0
http://facebook.com,200,1678062671474412800,1678062671624365100,63826,1
http://youtube.com,200,1678062671633183000,1678062671774899700,482724,2
http://twitter.com,200,1678062671806412100,1678062672018309600,176271,3
http://instagram.com,200,1678062672109382000,1678062672892992400,237313,4
http://linkedin.com,200,1678062673005693200,1678062673393708000,120881,5
http://microsoft.com,200,1678062673397535500,1678062673735778400,163450,6
http://apple.com,200,1678062673738207400,1678062673797428800,238853,7
http://pinterest.com,200,1678062673802214800,1678062674026349500,220057,8
http://vimeo.com,200,1678062674041860900,1678062674305210100,223719,9
http://adobe.com,200,1678062674335358400,1678062674627569400,7,10
